id	student_id	subject_id	class_subject_id	section_id	attendance_date	login_time	status	recorded_by	recorded_at
4955	2022310275	8		1	2025-12-04	19:47:35	Present	1	2025-12-04 19:47:35
4954	2022304738	8		1	2025-12-04	19:47:19	Present	1	2025-12-04 19:47:19
4953	2022304808	8		1	2025-12-04	19:47:16	Present	1	2025-12-04 19:47:16
4951	2021309452	8		1	2025-12-04	19:46:07	Late	5	2025-12-04 19:46:07
4948	2022304979	8		1	2025-12-04	19:45:34	Late	5	2025-12-04 19:45:34
4944	2022305278	8		1	2025-12-04	18:52:21	Present	5	2025-12-04 18:52:21
4937	2022306482	8		1	2025-12-04	18:51:46	Present	5	2025-12-04 18:51:46
4940	2021304973	8		1	2025-12-04	18:51:09	Present	5	2025-12-04 18:51:09
4938	2022311007	8		1	2025-12-04	18:50:36	Present	5	2025-12-04 18:50:36
4935	2022304246	8		1	2025-12-04	18:49:23	Present	5	2025-12-04 18:49:23
4934	2022304760	8		1	2025-12-04	18:48:11	Present	5	2025-12-04 18:48:11
4932	2020307345	8		1	2025-12-04	18:47:53	Present	5	2025-12-04 18:47:54
4928	2022310250	8		1	2025-12-04	18:46:23	Present	5	2025-12-04 18:46:23
4926	2022306420	8		1	2025-12-04	18:45:01	Present	5	2025-12-04 18:45:01
4924	2022305241	8		1	2025-12-04	18:44:25	Present	5	2025-12-04 18:44:25
4281	2025306699	14		6	2025-12-04	18:11:06	Late	1	2025-12-04 18:11:06
4212	2025306159	14		6	2025-12-04	18:09:57	Late	1	2025-12-04 18:09:57
4718	2024300410	14		6	2025-12-04	18:04:51	Late	1	2025-12-04 18:04:51
4166	2021302582	14		6	2025-12-04	18:03:55	Late	1	2025-12-04 18:03:55
4787	2025304555	14		6	2025-12-04	18:03:34	Late	1	2025-12-04 18:03:34
4419	2025300276	14		6	2025-12-04	18:02:18	Late	1	2025-12-04 18:02:18
4258	2025300164	14		6	2025-12-04	18:01:58	Late	1	2025-12-04 18:01:58
4189	2025306592	14		6	2025-12-04	18:01:19	Late	1	2025-12-04 18:01:19
4856	2025305978	14		6	2025-12-04	17:49:16	Late	1	2025-12-04 17:49:16
4074	2025306095	14		6	2025-12-04	17:48:30	Late	1	2025-12-04 17:48:30
4810	2025306216	14		6	2025-12-04	17:47:55	Late	1	2025-12-04 17:47:55
4695	2025306317	14		6	2025-12-04	17:46:24	Late	1	2025-12-04 17:46:24
4603	2025304551	14		6	2025-12-04	17:45:30	Late	1	2025-12-04 17:45:30
4051	2025306866	14		6	2025-12-04	17:44:09	Present	1	2025-12-04 17:44:09
4488	2025306239	14		6	2025-12-04	17:41:56	Late	1	2025-12-04 17:41:56
4649	2025306648	14		6	2025-12-04	17:41:25	Late	1	2025-12-04 17:41:25
4235	2025306030	14		6	2025-12-04	17:35:05	Late	1	2025-12-04 17:35:05
4097	2025306093	14		6	2025-12-04	17:31:42	Late	1	2025-12-04 17:31:42
4626	2025306583	14		6	2025-12-04	17:30:16	Late	1	2025-12-04 17:30:16
4764	2025305940	14		6	2025-12-04	17:28:41	Present	1	2025-12-04 17:28:41
4442	2025304546	14		6	2025-12-04	17:25:52	Present	1	2025-12-04 17:25:52
4672	2025305958	14		6	2025-12-04	17:24:05	Present	1	2025-12-04 17:24:05
4120	2023300601	14		6	2025-12-04	17:22:42	Present	1	2025-12-04 17:22:42
4304	2025306226	14		6	2025-12-04	17:20:58	Present	1	2025-12-04 17:20:58
4350	2025304543	14		6	2025-12-04	17:19:43	Present	1	2025-12-04 17:19:43
